Titolo	Location	Tipologia del luogo	Tipologia dello Spazio	Temporalità dello Spazio	Definizione dello spazio	Note sullo spazio	Interpretazione	osm_id	lat_long	Note
La formica argentina	Sanremo	paese	Aperto > Urbano > Paese	Presente	Spazio reale	La casa del protagonista è incastonata tra siepi e giardini di altre case del paese, su un versante che scende verso il centro cittadino, al porto e al mare per mezzo di scale e strade scoscese.	Deduzione dalla biografia dell’autore	42651	43.8198253,7.7748827	
La speculazione edilizia	Liguria	città	Aperto > Urbano > Città	Presente	Spazio reale	La città è indicata come ***, ma collocata esplicitamente nella Riviera (ligure).	Deduzione dalla descrizione del luogo, Menzione esplicita	301482	44.4777617,8.7026296	
La nuvola di smog	Torino	città	Aperto > Urbano > Città	Presente	Spazio reale	La grande città industriale del Nord in cui è ambientato il racconto è verosimilmente Torino: oltre alla vista sull’arco alpino, la città ha un fiume, un parco ed è menzionato il sobborgo di "Barca Bertulla" che richiama i due quartieri torinesi di Barca e Bertolla.	Deduzione dalla descrizione del luogo	43992	45.0677551,7.6824892	
Marcovaldo ovvero Le stagioni in città	Torino	città		Presente	Spazio reale	Gli spazi della città – i giardini pubblici, l’ospedali, i tetti, le strade, le piazze – sono l’ambientazione ricorrente, attraverso le stagioni, della lotta per la sopravvivenza della natura nel contesto urbano. Spesso risultano trasformati o straniati dallo sguardo ingenuo e fantasioso di Marcovaldo o dei figli, che tentano instancabilmente di adattare gli spazi loro concessi ai propri desideri e necessità.	Deduzione dalla descrizione del luogo, Deduzione dalla biografia dell’autore	43992	45.0677551,7.6824892	
L'iguana	Isola di Ocaña	mare, isola	Aperto > Naturale > Acquatico > Mare		Spazio fittizio	L'isola è immaginaria, popolata solo 	Menzione esplicita		38.7200, -24.2200	
Cladonia rapida	Torino	città	Aperto > Urbano > Città	Presente	Spazio reale	A Torino è ambientato il caso “clinico-automobilistico” osservato dall’autore del report, di cui sono riportati il luogo e le dinamiche.	Menzione esplicita	43992	45.0677551,7.6824892	
Cladonia rapida	Tangeri	città		Presente	Spazio reale	A Tangeri (solo citata, mai rappresentata) si è svolto il Salone dell’Auto durante il quale sono stati discussi i primi effetti della diffusione mondiale del lichene.	Menzione esplicita	6053068	35.7625681,-5.8295062	
Cladonia rapida	Parigi	città		Presente	Spazio reale	A Parigi (solo citata, mai rappresentata) si sono svolti gli esperimenti i cui risultati sono comunicati nel report.	Menzione esplicita	71525	48.8534951,2.3483915	
Pieno impiego	Torino	campagna	Aperto > Naturale > Rurale > Campagna	Presente	Spazio reale	Gran parte del racconto si svolge nella villa di campagna di Simpson, dove il proprietario mette in mostra le possibilità di collaborazione con varie specie di insetti tra cui libellule, api e formiche.	Deduzione dalla biografia dell’autore	43992	45.0677551,7.6824892	
Protezione	Torino	interno	Chiuso > Edificio	Non specificato	Spazio reale	Il racconto si svolge interamente in casa, durante una cena tra amici.	Menzione esplicita	43992	45.0677551,7.6824892	
Verso occidente	Rio delle Amazzoni	bosco	Aperto > Naturale > Arboreo > Bosco	Presente	Spazio reale	Risalendo il Rio delle Amazzoni, Anna e Walter visitano la tribù degli Arunde per indagare l'alto tasso di suicidi nella loro comunità.	Menzione esplicita	172122662	0.1865944,-50.7348369	
Verso occidente	Europa non specificato	mare, fiume, montagna	Aperto > Naturale > Arboreo > Bosco; Aperto > Naturale > Acquatico > Mare	Presente	Spazio fittizio	Il racconto si svolge in un luogo fittizio non identificabile: paesaggisticamente sono menzionati una valle, una palude e il mare; il “Laboratorio della Guardia Forestale” presso cui lavorano Anna e Walter potrebbe suggerire un’ambientazione italiana, ma i nomi fittizi usati per indicare alcuni elementi (la foce del Mölde, il fiordo di Penndal) evocano piuttosto un’area germanica o scandinava, riconducibile genericamente all’Europa del nord. 	Deduzione dalla descrizione del luogo	25871341	51,10	
Recuenco - La nutrice	Non specificato (forse Sud America?)	montagna	Aperto > Naturale > Rilievo > Montagna						38.7200, -24.2200	
Recuenco - Il rafter	Non specificato (forse Sud America?)	interno	Chiuso > Edificio						38.7200, -24.2200	
Paese d'ombre	Villacidro	campagna, paese, bosco	Aperto > Naturale > Rurale > Campagna; Aperto > Urbano > Paese; Aperto > Naturale > Arboreo > Bosco	Passato	Spazio reale dal nome fittizio	Chiamata nel romanzo con il nome fittizio di Norbio, è il fulcro spaziale del romanzo, i cui personaggi si muovono tra il paese, la campagna circostante e i versanti boscosi del Monte Linas.	Menzione esplicita	39919	39.4569925,8.7367219	
Lo smeraldo	Genova	città		Presente	Spazio reale	Genova si è trasformata in un mostro d’acciaio e cemento, che non lascia spazio alla memoria né alla natura. Rappresenta il volto distopico del progresso, la spersonalizzazione avvenuta sotto il peso della tecnica. 	Menzione esplicita	44875	44.4072600,8.9338624	ok
Lo smeraldo	Roma	città		Presente	Spazio reale	Le rovine di Roma non sono cancellate, sono esibite, e anzi sembrano magnificarsi nel loro crollo. I palazzi medievali, le torri, le architetture antiche, pur ferite, si stagliano nel cielo come resti di una grandezza perduta. 	Menzione esplicita	41485	41.8933203,12.4829321	ok
Lo smeraldo	Napoli	città		Presente	Spazio reale	Napoli è un'apparizione quasi salvifica. La città sembra tornata com’era all’inizio del Novecento: il degrado, il caos, i segni del tempo sembrano scomparsi, sostituiti da una visione armoniosa, piena di bellezza. 	Menzione esplicita	40767	40.8358846,14.2487679	ok
Lo smeraldo	Acquapendente	paese		Presente	Spazio reale	Acquapendente è un borgo emblematico perché qui il protagonista vi distingue tre classi di rovine, che possono essere estese a tutti gli altri luoghi del suo viaggio: le costruzioni moderne, devastanti e impressionanti; le case in mattoni, pittoresche grazie ai colori e all’erba; e le costruzioni in pietra, come vecchie chiese e case rivestite di edera, che suscitano malinconia e fascino.	Menzione esplicita	42144	42.7439961,11.864988	ok
Dissipatio H.G.	Zurigo	città	Aperto > Urbano > Città; Aperto > Naturale > Rilievo > Montagna; Aperto > Urbano > Paese	Presente	Spazio reale dal nome fittizio	Crisopoli è il nome con cui Morselli intende Zurigo, prima luogo di civiltà meccanizzata, industriale e militare (di cui si menzionano l'aeroporto, le banche, la base militare), ora spopolato e deserto	Deduzione dalla biografia dell’autore	1682248	47.3744489,8.5410422	ok
Dissipatio H.G.	Widmad	montagna, paese		Presente	Spazio reale	La cittadina tra le montagne della Svizzera, in cui il protagonista si isola dopo aver lasciato Crisopoli, rappresenta il rifugio del superstite dal mondo civilizzato moderno	Menzione esplicita		38.7200, -24.2200	
Dissipatio H.G.	Lewrosen	paese, montagna		Presente	Spazio reale		Menzione esplicita		38.7200, -24.2200	
Visto da Seveso	Seveso	città	Aperto > Urbano > Città	Presente	Spazio reale	La città di Seveso è un luogo contaminato dalla nube tossica della fabbrica Icmesa, vista attraverso le testimonianze dei cittadini, simbolo della negligenza industriale e politica e della fragilità del controllo umano sull’ambiente, con gravi danni alla terra, agli animali e alle piante.	Menzione esplicita	45608	45.6434655,9.1373787	ok
Una lepre con la faccia di bambina	Seveso	città	Aperto > Urbano > Città	Presente	Spazio reale	Seveso è una città profondamente segnata dal disastro chimico del 1976: la zona più esposta all’inquinamento diventa un luogo di emergenza e paura, dove anche gli animali e le piante sono contaminati. La città è anche teatro di sofferenze personali e familiari, con bambini e adulti colpiti dagli effetti della diossina e dalle difficoltà sociali.	Menzione esplicita	45608	45.6434655,9.1373787	ok
Il re del magazzino	Campagna lombarda intorno al fiume Lambro 	campagna, fiume, interno	Aperto > Naturale > Rurale > Campagna; Aperto > Urbano > Paese; Aperto > Naturale > Irriguo > Pianura; Aperto > Naturale > Acquatico > Fiume	Futuro	Spazio reale	L’ambientazione è situata sulle rive del fiume Lambro, presso la campagna lombarda. Il protagonista si rifugia in un piccolo magazzino sotterraneo, situato in una cascina diroccata, che funge da rifugio e luogo di scrittura in un mondo post-apocalittico.	Menzione esplicita	570545	45.5302185,9.2659323	ok
Il superstite	Maremma toscana	campagna, paese	Aperto > Naturale > Rurale > Campagna; Aperto > Urbano > Paese; Aperto > Naturale > Irriguo > Pianura	Futuro	Spazio reale	La maremma toscana, tra la campagna e il mare, è l'ambientazione del vagabondaggio del cane protagonista; nel romanzo sono nominate diverse città e borghi, ma l'apocalisse sembra aver raggiunto tutta l'Italia.	Menzione esplicita	4279861	42.6303496,11.1095079	ok
Il pianeta irritabile	Luogo non specificato sul Pianeta Terra	città, campagna	Aperto > Urbano > Città; Aperto > Naturale > Rurale > Campagna	Futuro	Spazio reale	La catastrofe si svolge in luoghi imprecisati del pianeta Terra, non vi è nessun riferimento a geografie esplicite	Deduzione dalla descrizione del luogo		38.7200, -24.2200	ok
Il paradiso degli animali	Maremma toscana	pianura	Aperto > Naturale > Irriguo > Pianura	Presente	Spazio reale	La regione della maremma toscana è ambientazione del peregrinare degli animali protagonisti (diversi toponimi sono menzionati).	Menzione esplicita	4279861	42.6303496,11.1095079	
Uomini, boschi e api	Polonia	montagna, bosco	Aperto > Naturale > Rilievo > Montagna; Aperto > Naturale > Irriguo > Pianura; Aperto > Urbano > Paese; Aperto > Naturale > Arboreo > Bosco; Aperto > Naturale > Acquatico > Fiume	Passato	Spazio reale	Nel primo racconto lungo della raccolta raccolta, intitolato I giorni del Nord-Est, Rigoni Stern rievoca i suoi giorni di guerra e prigionia nei Lager nazisti, che vengono esplicitamente menzionati seppur non collocati geograficamente (eccezion fatta per qualche riferimento come "il mausoleo di Hindenburg")	Deduzione dalla descrizione del luogo	105870	46.6239430,14.3075976	ok
Uomini, boschi e api	Altipiano di Asiago	pianura, fiume	Aperto > Naturale > Rilievo > Montagna; Aperto > Naturale > Irriguo > Pianura; Aperto > Urbano > Paese; Aperto > Naturale > Arboreo > Bosco; Aperto > Naturale > Acquatico > Fiume	Presente	Spazio reale	L'altopiano di Asiago, luogo natale e simbolico dell'autore, tra boschi, pascoli, paesi e malghe, è l'ambientazione principale della seconda parte della raccolta, che include la menzione di toponimi locali.	Menzione esplicita	18558498	45.5568695,10.2232761	ok
Ferragosto di morte 	Maremma toscana	paese, campagna	Aperto > Urbano > Città; Aperto > Urbano > Paese; Aperto > Naturale > Rurale > Campagna	Presente	Spazio reale	La maremma toscana, tra la campagna e il mare, è l'ambientazione: nel romanzo sono nominate diverse città e borghi (Firenze, Pisa, Cecina, Volterra...), ma l'apocalisse ha colpito tutta l'Italia.	Menzione esplicita	4279861	42.6303496,11.1095079	ok
Il mondo senza nessuno	Maremma toscana	paese, campagna	Aperto > Urbano > Paese; Aperto > Urbano > Città; Aperto > Naturale > Rurale > Campagna	Presente	Spazio reale	La maremma toscana, tra la campagna e il mare, è l'ambientazione: nel romanzo sono nominate diverse città e borghi (Firenze, Pisa, Cecina, Volterra...), ma l'apocalisse ha colpito tutta l'Italia.	Menzione esplicita	4279861	42.6303496,11.1095079	ok
L'acqua di Malo	Malo 	fiume, paese	Aperto > Urbano > Paese; Aperto > Naturale > Acquatico > Fiume; Aperto > Naturale > Arboreo > Bosco; Aperto > Naturale > Rurale > Campagna	Presente	Spazio reale	Malo, paese natale di Meneghello, è descritta con cura nei dettagli quotidiani, tra luoghi, persone e abitudini, e nei suoi dintorni naturali e urbani, tra fiumi, campi e colline, evidenziando sia la vita di paese e la storia sociale e culturale sia il forte legame tra gli abitanti e il territorio.	Menzione esplicita	45550	45.6602960,11.4074930	ok
Bambini pendolari che si sono perduti	Codogno	pianura, paese, campagna		Presente	Spazio reale	Codogno è rappresentato come luogo della provincia di Milano, che invece viene menzionata solo come luogo di arrivo del pendolarismo dei bambini, come luogo di "non appartenenza"	Menzione esplicita	44327	45.1600664,9.7043700	ok
Tempo che passa	Cicognolo	paese, pianura		Presente	Spazio reale	Cicognolo è uno dei luoghi menzionati e descritti nel ritorno a casa della donna protagonista del racconto.	Menzione esplicita	44331	45.1645730,10.1945750	ok
Tempo che passa	Pieve san Giacomo	paese, pianura		Presente	Spazio reale	Pieve san Giacomo è uno dei luoghi menzionati e descritti nel ritorno a casa della donna protagonista del racconto.	Menzione esplicita	44249	45.1302720,10.1862750	ok
Tempo che passa	San Daniele	paese, pianura		Presente	Spazio reale	San Daniele Po è uno dei luoghi menzionati e descritti nel ritorno a casa della donna protagonista del racconto.	Menzione esplicita	1196924129	45.3404050,11.7595501	ok
Fantasmi a Borgoforte	Borgoforte	paese, pianura		Presente	Spazio reale	Borgoforte è il luogo di ambientazione, descritto minuziosamente al fine di dare l'effetto spettrale funzionale al racconto.	Menzione esplicita	62513594	45.0512750,10.7492890	ok
La ragazza di Sermide	Sermide	paese, campagna, pianura		Presente	Spazio reale	Sermide è il luogo natale della protagonista del racconto	Menzione esplicita	62513692	45.0064835,11.2988715	ok
Storia di un falegname e di un eremita	Ficarolo	fiume, paese, pianura		Presente	Spazio reale	Ficarolo è luogo di origine del falegname e luogo di ambientazione del racconto.	Menzione esplicita	43838	44.9537986,11.4357293	ok
Traversata delle pianure	Ferrara	città, pianura		Passato	Spazio reale	Porta Mare è l'unico luogo menzionato nel racconto, la città descritta non viene mai nominata ma si tratta di Ferrara.	Deduzione dalla descrizione del luogo	43292	44.7667642,11.8279390	ok
Il ritorno del viaggiatore	Polesella	paese, pianura		Presente	Spazio reale	Polesella è il luogo verso cui il protagonista viaggia, alla ricerca del paese natale della madre.	Menzione esplicita	43885	44.9640818,11.7501773	ok
Il ritorno del viaggiatore	Adria	paese, pianura		Presente	Spazio reale	Adria è uno dei luoghi che il protagonista incontra nel suo viaggio di ritorno.	Menzione esplicita	44016	45.0531228,12.0572000	ok
Il ritorno del viaggiatore	Taglio di Po	paese		Presente	Spazio reale	Taglio di Po è uno dei luoghi che il protagonista incontra nel suo viaggio di ritorno.	Menzione esplicita	43878	45.0057769,12.2107983	ok
Come un fotografo è sbarcato nel nuovo mondo	Ca' Vernier	paese, pianura		Presente	Spazio reale	Ca' Vernier è una zona di case sparse lungo il Po di Venezia e luogo di ambientazione del racconto, descritto come pesaggio piatto con qualche piccola isola in mezzo al mare	Menzione esplicita	43668	44.9177128,12.4021857	ok
Giovani umani in fuga	Pianura Padana	pianura		Presente	Spazio reale	Non si fa nessuna menzione esplicita del luogo ma, date le descrizioni e l'inserimento nella raccolta, si deduce che il paesaggio sia quello della Pianura padana.	Deduzione dalla descrizione del luogo	11744240	44.9444239,11.0497382	ok
Verso la foce	Campagna maremmana	campagna, pianura		Presente	Spazio reale	Dalla campagna maremmana parte il viaggio di Celati verso la Foce del Po.	Menzione esplicita	4279861	42.6303496,11.1095079	ok
Verso la foce	Piacenza	città, pianura, fiume		Presente	Spazio reale	Piacenza è uno dei luoghi menzionati nel viaggio verso la foce del Po e in particolare in Paesaggio con centrale nucleare, titolo della prima sezione del racconto di viaggio, in cui Celati attraversa in auto e a piedi la Pianura Padana.	Menzione esplicita	43332	44.8476352,9.6665313	ok
Verso la foce	Caorso	pianura, fiume, paese		Presente	Spazio reale	Caorso, sede della centrale nucleare del titolo, è uno dei luoghi menzionati nel viaggio verso la foce del Po e in particolare in Paesaggio con centrale nucleare, titolo della prima sezione del racconto di viaggio, in cui Celati attraversa in auto e a piedi la Pianura Padana.	Menzione esplicita	44042	45.0495995,9.8743749	ok
Verso la foce	Gadesco	pianura, fiume, paese		Presente	Spazio reale	Gadesco è uno dei luoghi menzionati nel viaggio verso la foce del Po e in particolare in Paesaggio con centrale nucleare, titolo della prima sezione del racconto di viaggio, in cui Celati attraversa in auto e a piedi la Pianura Padana.	Menzione esplicita	816158240	45.1522513,10.1227879	ok
Verso la foce	Cremona	pianura, fiume, città		Presente	Spazio reale	Cremona è uno dei luoghi menzionati nel viaggio verso la foce del Po e in particolare in Paesaggio con centrale nucleare, titolo della prima sezione del racconto di viaggio, in cui Celati attraversa in auto e a piedi la Pianura Padana.	Menzione esplicita	43893	45.2208641,10.0370380	ok
Verso la foce	Pieve san Giacomo	pianura, fiume, paese		Presente	Spazio reale	Pieve san Giacomo è uno dei luoghi menzionati nel viaggio verso la foce del Po e in particolare in Paesaggio con centrale nucleare, titolo della prima sezione del racconto di viaggio, in cui Celati attraversa in auto e a piedi la Pianura Padana.	Menzione esplicita	44249	45.1302720,10.1862750	ok
Verso la foce	Gussola	pianura, fiume, paese		Presente	Spazio reale	Gussola è uno dei luoghi menzionati nel viaggio verso la foce del Po e in particolare in Paesaggio con centrale nucleare, titolo della prima sezione del racconto di viaggio, in cui Celati attraversa in auto e a piedi la Pianura Padana.	Menzione esplicita	43937	45.0099833,10.3508132	ok
Verso la foce	Casalmaggiore	pianura, fiume, paese		Presente	Spazio reale	Casalmaggiore è uno dei luoghi menzionati nel viaggio verso la foce del Po e in particolare in Paesaggio con centrale nucleare, titolo della prima sezione del racconto di viaggio, in cui Celati attraversa in auto e a piedi la Pianura Padana.	Menzione esplicita	43892	44.9863857,10.4153504	ok
Verso la foce	Colorno	pianura, fiume, paese		Presente	Spazio reale	Colorno è uno dei luoghi menzionati nel viaggio verso la foce del Po e in particolare in Paesaggio con centrale nucleare, titolo della prima sezione del racconto di viaggio, in cui Celati attraversa in auto e a piedi la Pianura Padana.	Menzione esplicita	43862	44.9265322,10.3771170	ok
Verso la foce	Brescello 	pianura, fiume, paese		Presente	Spazio reale	Brescello è uno dei luoghi menzionati nel viaggio verso la foce del Po e in particolare in Paesaggio con centrale nucleare, titolo della prima sezione del racconto di viaggio, in cui Celati attraversa in auto e a piedi la Pianura Padana.	Menzione esplicita	43694	44.9012244,10.5157280	ok
Verso la foce	Boretto	pianura, fiume, paese		Presente	Spazio reale	Boretto è uno dei luoghi menzionati nel viaggio verso la foce del Po e in particolare in Paesaggio con centrale nucleare, titolo della prima sezione del racconto di viaggio, in cui Celati attraversa in auto e a piedi la Pianura Padana.	Menzione esplicita	43760	44.9018700,10.5542870	ok
Verso la foce	Guastalla	pianura, fiume, paese		Presente	Spazio reale	Guastalla è uno dei luoghi menzionati nel viaggio verso la foce del Po e in particolare in Paesaggio con centrale nucleare, titolo della prima sezione del racconto di viaggio, in cui Celati attraversa in auto e a piedi la Pianura Padana.	Menzione esplicita	43743	44.9211516,10.6539985	ok
Verso la foce	Suzzara	paese, pianura, fiume		Presente	Spazio reale	Suzzara è uno dei luoghi menzionati nel viaggio verso la foce del Po e in particolare in Esplorazioni sugli argini, titolo della seconda sezione del racconto di viaggio, in cui Celati attraversa in auto e a piedi la Pianura Padana.	Menzione esplicita	43929	44.9918730,10.7430900	ok
Verso la foce	San Benedetto Po	paese, pianura, fiume		Presente	Spazio reale	San Benedetto Po è uno dei luoghi menzionati nel viaggio verso la foce del Po e in particolare in Esplorazioni sugli argini, titolo della seconda sezione del racconto di viaggio, in cui Celati attraversa in auto e a piedi la Pianura Padana.	Menzione esplicita	43954	45.0419243,10.9282948	ok
Verso la foce	Mirasole	paese, pianura, fiume		Presente	Spazio reale	Mirasole è uno dei luoghi menzionati nel viaggio verso la foce del Po e in particolare in Esplorazioni sugli argini, titolo della seconda sezione del racconto di viaggio, in cui Celati attraversa in auto e a piedi la Pianura Padana.	Menzione esplicita	11290710373	45.3874236,9.2019618	ok
Verso la foce	Pieve di Coriano	pianura, paese		Presente	Spazio reale	Pieve di Coriano è uno dei luoghi menzionati nel viaggio verso la foce del Po e in particolare in Esplorazioni sugli argini, titolo della seconda sezione del racconto di viaggio, in cui Celati attraversa in auto e a piedi la Pianura Padana.	Menzione esplicita	62512713	45.0337994,11.1082525	ok
Verso la foce	Castelmassa	campagna, pianura, fiume		Presente	Spazio reale	Castelmassa è uno dei luoghi menzionati nel viaggio verso la foce del Po e in particolare in Esplorazioni sugli argini, titolo della seconda sezione del racconto di viaggio, in cui Celati attraversa in auto e a piedi la Pianura Padana.	Menzione esplicita	44000	45.0168524,11.3104980	ok
Verso la foce	Occhiobello	paese, pianura, fiume		Presente	Spazio reale	Occhiobello è uno dei luoghi menzionati nel viaggio verso la foce del Po e in particolare in Esplorazioni sugli argini, titolo della seconda sezione del racconto di viaggio, in cui Celati attraversa in auto e a piedi la Pianura Padana.	Menzione esplicita	43827	44.9212498,11.5813996	ok
Verso la foce	Ferrara	città, pianura		Presente	Spazio reale	Ferrara è uno dei luoghi menzionati nel viaggio verso la foce del Po e in particolare in Esplorazione sugli argini, titolo della seconda sezione del racconto di viaggio, in cui Celati attraversa in auto e a piedi la Pianura Padana.	Menzione esplicita	43292	44.7667642,11.8279390	ok
Verso la foce	Pontelgascuro	paese, pianura, fiume		Presente	Spazio reale	Pontelagoscuro è uno dei luoghi menzionati nel viaggio verso la foce del Po e in particolare in Esplorazioni sugli argini, titolo della seconda sezione del racconto di viaggio, in cui Celati attraversa in auto e a piedi la Pianura Padana.	Menzione esplicita	959369109	44.8783159,11.609121	ok
Verso la foce	Finale di Rero	paese, pianura, fiume		Presente	Spazio reale	Finale di Rero è uno dei luoghi menzionati nel viaggio verso la foce del Po e in particolare di Tre giorni nella zona della grande bonifica, titolo della terza sezione del racconto di viaggio, in cui Celati attraversa in auto e a piedi la Pianura Padana.	Menzione esplicita	234332999	44.8207779,11.8701113	ok
Verso la foce	Tresigallo	paese, pianura, fiume		Presente	Spazio reale	Tresigallo è uno dei luoghi menzionati nel viaggio verso la foce del Po e in particolare in Tre giorni nella zona della grande bonifica, titolo della terza sezione del racconto di viaggio, in cui Celati attraversa in auto e a piedi la Pianura Padana.	Menzione esplicita	1104734097	44.8159790,11.8947190	ok
Verso la foce	Jolanda di Savoia	paese, pianura, fiume		Presente	Spazio reale	Jolanda di Savoia è uno dei luoghi menzionati nel viaggio verso la foce del Po e in particolare in Tre giorni nella zona della grande bonifica, titolo della terza sezione del racconto di viaggio, in cui Celati attraversa in auto e a piedi la Pianura Padana.	Menzione esplicita	43697	44.8824077,11.9793488	ok
Verso la foce	Codigoro	paese, pianura, fiume		Presente	Spazio reale	Codigoro è uno dei luoghi menzionati nel viaggio verso la foce del Po e in particolare in Tre giorni nella zona della grande bonifica, titolo della terza sezione del racconto di viaggio, in cui Celati attraversa in auto e a piedi la Pianura Padana.	Menzione esplicita	43655	44.8315810,12.1095240	ok
Verso la foce	Po di Volano	fiume		Presente	Spazio reale	Po di Volano è un ex-ramo del fiume e uno dei luoghi menzionati nel viaggio verso la foce del Po e in particolare in Tre giorni nella zona della grande bonifica, titolo della terza sezione del racconto di viaggio, in cui Celati attraversa in auto e a piedi la Pianura Padana.	Menzione esplicita	75260343	44.7866418,12.1203300	ok
Verso la foce	Massa Fiscaglia	paese, pianura, fiume		Presente	Spazio reale	Massa Fiscaglia è uno dei luoghi menzionati nel viaggio verso la foce del Po e in particolare in Tre giorni nella zona della grande bonifica, titolo della terza sezione del racconto di viaggio, in cui Celati attraversa in auto e a piedi la Pianura Padana.	Menzione esplicita	69300327	44.8087596,12.0106057	ok
Verso la foce	Molinella	paese, pianura, fiume		Presente	Spazio reale	Molinella è uno dei luoghi menzionati nel viaggio verso la foce del Po e in particolare in Tre giorni nella zona della grande bonifica, titolo della terza sezione del racconto di viaggio, in cui Celati attraversa in auto e a piedi la Pianura Padana.	Menzione esplicita	43345	44.6208530,11.6702371	ok
Verso la foce	Ostellato	paese, pianura, fiume		Presente	Spazio reale	Ostellato è uno dei luoghi menzionati nel viaggio verso la foce del Po e in particolare in Verso la foce, titolo della quarta sezione del racconto di viaggio, in cui Celati attraversa in auto e a piedi la Pianura Padana.	Menzione esplicita	43573	44.7456780,11.9435210	ok
