Titolo	Location	Tipologia del luogo	Tipologia dello Spazio	Temporalità dello Spazio	Definizione dello spazio	Note sullo spazio	Interpretazione	osm_id	lat_long	Note
Verso la foce	Valli di Comacchio	città, pianura, fiume		Presente	Spazio reale	Le valli di Comacchio sono genericamente luoghi menzionati nel viaggio verso la foce del Po e in particolare in Verso la foce, titolo della quarta sezione del racconto di viaggio, in cui Celati attraversa in auto e a piedi la Pianura Padana.	Menzione esplicita	17233240	44.6190016,12.1682822	ok
Verso la foce	Chioggia	città, pianura, fiume		Presente	Spazio reale	Chioggia è uno dei luoghi menzionati nel viaggio verso la foce del Po e in particolare in Verso la foce, titolo della quarta sezione del racconto di viaggio, in cui Celati attraversa in auto e a piedi la Pianura Padana.	Menzione esplicita	44236	45.2188940,12.2785805	ok
Verso la foce	Oglio	fiume		Presente	Spazio reale	L'Oglio è un fiume menzionato nel viaggio verso la foce del Po e in particolare in Esplorazioni sugli argini, titolo della seconda sezione del racconto di viaggio, in cui Celati attraversa in auto e a piedi la Pianura Padana.	Menzione esplicita	1050434	45.6861566,10.0590332	ok
Il libro degli animali	Altipiano di Asiago	montagna, bosco, fiume	Aperto > Naturale > Rilievo > Montagna; Aperto > Naturale > Arboreo > Bosco; Aperto > Naturale > Acquatico > Fiume	Presente	Spazio reale	L'altopiano di Asiago, tra boschi, pascoli, paesi e malghe, è il luogo di ambientazioni  dove si intrecciano le storie degli uomini, degli animali e della guerra. Numerosi toponimi locali sono menzionati, rendendo l’ambiente reale e simbolico del legame profondo tra l’uomo e la natura.	Menzione esplicita	18558498	45.5568695,10.2232761	ok
Arboreto salvatico	Altipiano di Asiago	paese, montagna, pianura, bosco	Aperto > Urbano > Paese; Aperto > Naturale > Rilievo > Montagna; Aperto > Naturale > Irriguo > Pianura; Aperto > Naturale > Arboreo > Bosco	Presente	Spazio reale	L'altopiano di Asiago, tra boschi, pascoli, paesi e malghe, è il luogo di ambientazioni  dove si intrecciano le storie degli uomini, degli animali e della guerra. Numerosi toponimi locali sono menzionati, rendendo l’ambiente reale e simbolico del legame profondo tra l’uomo e la natura.	Menzione esplicita	18558498	45.5568695,10.2232761	ok
Sentieri sotto la neve	Altipiano di Asiago	montagna, paese, bosco, pianura	Aperto > Naturale > Rilievo > Montagna; Aperto > Urbano > Paese; Aperto > Naturale > Arboreo > Bosco; Aperto > Naturale > Irriguo > Pianura	Presente	Spazio reale	L'altopiano di Asiago, tra boschi, pascoli, paesi e malghe, è il luogo di ambientazioni  dove si intrecciano le storie degli uomini, degli animali e della guerra. Numerosi toponimi locali sono menzionati, rendendo l’ambiente reale e simbolico del legame profondo tra l’uomo e la natura.	Menzione esplicita	18558498	45.5568695,10.2232761	ok
I quindicimila passi	Vicenza	città	Aperto > Urbano > Città; Aperto > Naturale > Arboreo > Bosco	Presente	Spazio reale	Vicenza e la provincia veneta sono raccontate e descritte per mezzo di un tragitto a piedi dalla casa del protagonista allo studio notarile di un avvocato	Menzione esplicita	44580	45.6348591,11.4063543	ok
Gomorra	Napoli	città		Presente	Spazio reale	Il porto e il mare di Napoli sono descritti in quanto nodi chiave del traffico di merci e droga.	Menzione esplicita	40767	40.8358846,14.2487679	
Gomorra	Aberdeen	città		Presente	Spazio reale	La città scozzese viene menzionata nel capitolo dal titolo significativo Aberdeen, Mondragone per mostrare la rete internazionale della criminalità organizzata campana.	Menzione esplicita	1900654	57.1482429,-2.0928095	
Gomorra	Caserta	città		Presente	Spazio reale	Caserta e il casertano sono luoghi di ambientazione della narrazione di Saviano, descritti come il principale territorio di azione della criminalità organizzata. 	Menzione esplicita	40940	41.2035192,14.1168624	
Gomorra	Casal di Principe	città		Presente	Spazio reale	Il comune è raccontato da Saviano in quanto centro nevralgico della camorra casertana.	Menzione esplicita	41007	41.0114120,14.1248250	
Gomorra	San Cipriano d'Aversa	città		Presente	Spazio reale	Insieme a Casal di Principe, il comune di San Cipriano d'Aversa è uno dei luoghi dominati dalla camorra.	Menzione esplicita	40978	40.9988120,14.1317260	
Gomorra	Casapesenna	paese, città	Aperto > Urbano > Paese; Aperto > Urbano > Città	Presente	Spazio reale	Insieme a Casal di Principe e San Cipriano d'Aversa, Casapesenna è uno dei luoghi casertani dominati dalla camorra, tra quelli menzionati da Saviano.	Menzione esplicita	40979	40.9915120,14.1361260	
Sirene	Nuova baja california	mare, interno	Aperto > Urbano > Città; Aperto > Naturale > Acquatico > Mare	Futuro	Spazio fittizio	Nuova Baja California è il luogo in cui è ambientato il romanzo, ma è solo nominato e non ha alcun ruolo per la narrazione: essa, che si svolge in luoghi sotterranei, potrebbe avvenire ovunque.	Menzione esplicita		38.7200, -24.2200	ok
L'ubicazione del bene	Milano	città	Aperto > Urbano > Città	Presente	Spazio reale dal nome fittizio	Cortesforza è un luogo (o un non-luogo) inventato dall'autore che però si trova nell'hinterland milanese, come esplicitato nello stesso romanzo.	Menzione esplicita	44915	45.4641943,9.1896346	ok
Bambini bonsai	Genova	città, interno	Aperto > Urbano > Città	Futuro	Spazio reale	Resa irriconoscibile dalla catastrofe ecologica e sociale, Genova è cresciuta a dismisura e senza controllo, inglobando e ricostruendosi sui propri resti, schiacciata tra le montagne desertiche e il mare deprivato di ogni risorsa vitale. Ma allo stesso tempo, trasfigurata dalla fantasia immaginifica e dalla prospettiva infantile di Pepe, la città è anche un luogo meraviglioso e ricco di possibilità.	Menzione esplicita	44875	44.4072600,8.9338624	
Cinacittà	Roma	città	Aperto > Urbano > Città	Futuro	Spazio reale	Viene rappresentata una Roma apocalittica, popolata solo di cittadini cinesi, mentre i romani hanno dovuto migrare verso Nord a causa delle alte temperature.		41485	41.8933203,12.4829321	ok
Il viaggio dell'orsa										
Violazione	Bologna	città, campagna	Aperto > Urbano > Città; Aperto > Naturale > Rurale > Campagna					43172	44.4938203,11.3426327	
Isolatria	Arcipelago de La Maddalena	mare, isola	Aperto > Naturale > Acquatico > Mare	Presente	Spazio reale	La Maddalena e la Sardegna sono al centro della narrazione in quanto isole in mezzo al mare e dunque in una posizione ontologicamente resistente rispetto alle narrazioni e alla cultura dominanti.	Menzione esplicita	7454306	41.2127826,9.4066598	ok
La vita in tempo di pace	Sharm El Sheikh	interno, mare	Aperto > Naturale > Acquatico > Mare	Presente	Spazio reale	L'aeroporto di Sharm el Sheik è il non-luogo da cui parte la narrazione: il protagonista prenderà lì un aereo per tornare in Italia.	Menzione esplicita	872858698	25.4688226,56.3433687	ok
La vita in tempo di pace	Milano	città	Aperto > Urbano > Città	Presente	Spazio reale dal nome fittizio	La Città del Nord è inconfondibilmente Milano, sede della multinazionale per cui lavora il protagonista.	Deduzione dalla descrizione del luogo	44915	45.4641943,9.1896346	ok
La vita in tempo di pace	Mar Egeo	mare	Aperto > Naturale > Acquatico > Mare	Presente	Spazio reale dal nome fittizio	Capo Atreide, Lago di Kalamia e altri toponimi sono inventati ma facilmente riconducibili a luoghi che costeggiano il Mar Egeo, che invece è menzionato esplicitamente, o si trovano a ridosso della costa.	Deduzione dalla descrizione del luogo	4594226	38.0622276,25.7205887	ok
La vita in tempo di pace	Atene	città	Aperto > Urbano > Città	Presente	Spazio reale	Atene è un luogo in cui il protagonista si trova per poco tempo, che non viene grandemente descritto se non per permettere al protagonista di rievocare un viaggio passato.		441183	37.9755648,23.7348324	
La vita in tempo di pace	Roma	città	Aperto > Urbano > Città	Presente	Spazio reale dal nome fittizio	La città di Dio è il nome che l'autore dà a Roma, facilmente riconoscibile grazie a indicatori urbanistico-architettonici e sociali.	Deduzione dalla descrizione del luogo	41485	41.8933203,12.4829321	ok
La vita in tempo di pace	Latina? Formia?	città		Presente	Spazio reale dal nome fittizio	La città di Mare è probabilmente Napoli anche se, rispetto alle Città del Nord e di Dio, è meno evidente, ma l'identificazione è possibile tramite il riferimento ad altri luoghi (come Palmarola e Ponza)	Deduzione dalla descrizione del luogo			
La lucina	Nessuna geografia esplicita	montagna	Aperto > Naturale > Rilievo > Montagna	Presente	Spazio fittizio	Non vi è nessuna geografia esplicita, solo un borgo in montagna non meglio identificato, in cui il protagonista, anch'egli senza nome, si rifugia per sparire.	Deduzione dalla descrizione del luogo		38.7200, -24.2200	
Condominio oltremare	Lidi Ferraresi	mare, città	Aperto > Naturale > Acquatico > Mare; Aperto > Urbano > Città	Presente	Spazio reale	I sette Lidi Ferraresi (o Lidi di Comacchio) di cui fa parte il Lido delle Nazioni sono spesso menzionati, o con il loro nome collettivo o presi singolarmente, a paragone con il Lido delle Nazioni, centro della narrazione.	Menzione esplicita	0	44.699473524843,12.232820983218597	ok
Condominio oltremare	Lido delle Nazioni a Comacchio	mare, città	Aperto > Naturale > Acquatico > Mare; Aperto > Urbano > Città	Presente	Spazio reale	Il Lido delle Nazioni a Comacchio e il lago artificiale omonimo sono luoghi di villeggiatura, al centro della narrazione e emblemi dell'alterazione dell'ambiente causato dall'edilizia massiccia.	Menzione esplicita	23012260	44.7419903,12.2444735	ok
Anna	Trapani	campagna		Presente	Spazio reale			39404	38.0173961,12.5160225	
Anna	Palermo	campagna, città, mare	Aperto > Naturale > Rurale > Campagna; Aperto > Urbano > Città; Aperto > Naturale > Acquatico > Mare	Futuro Prossimo	Spazio reale			39513	38.1112268,13.3524434	
Anna	Torre Normanna	campagna, città, mare	Aperto > Naturale > Rurale > Campagna; Aperto > Urbano > Città; Aperto > Naturale > Acquatico > Mare					443171345	40.6204066,16.1472078	
Anna	Cefalù	campagna, città, mare	Aperto > Naturale > Rurale > Campagna; Aperto > Urbano > Città; Aperto > Naturale > Acquatico > Mare					39444	38.0349570,14.0244562	
Anna	Messina	campagna, città, mare	Aperto > Naturale > Rurale > Campagna; Aperto > Urbano > Città; Aperto > Naturale > Acquatico > Mare					39514	38.1937571,15.5542082	
Cade la terra	Italia meridionale	paese	Aperto > Urbano > Paese			Alento (inventato)		17514288	40.4053173,15.9328381	
Le cose semplici	Parigi	città	Aperto > Urbano > Città					71525	48.8534951,2.3483915	
Le cose semplici	New York	città	Aperto > Urbano > Città					175905	40.7127281,-74.0060152	
Le cose semplici	Long Island	città	Aperto > Urbano > Città					3955977	40.8514970,-73.0994297	
Le cose semplici	Milano	città	Aperto > Urbano > Città					44915	45.4641943,9.1896346	
Qualcosa, là fuori	Napoli	città		Futuro Prossimo	Spazio reale	Città natale di Livio, in cui torna nel 2056 con la compagna Leila e il figlio Matías dopo un lungo periodo di vita in America. Da Napoli, sedici anni dopo la morte di Leila e Matías, Livio parte nel suo viaggio per il nord Europa. Il tracollo climatico e sociale italiano è raccontato dunque attraverso la specola della città partenopea, di cui viene descritta la tropicalizzazione, il progressivo cambiamento demografico a maggioranza araba e la radicalizzazione religiosa, il disgregarsi di ogni struttura sociale, sanitaria e statale fino alla completa presa di controllo da parte della criminalità.	Menzione esplicita	40767	40.8358846,14.2487679	
Qualcosa, là fuori	San Francisco	città		Futuro Prossimo	Spazio reale	Città dove si trasferiscono Livio e la compagna Leila nel 2068, per lavorare all’Università di Stanford. Sebbene non sia esente da tensioni sociali dovute alla presenza maggioritaria della popolazione ispanica (a sud, nel frattempo, la Grande Barriera blocca completamente i collegamenti con il Messico e il centro America) e a problemi derivanti da severe restrizioni idriche e dall’innalzamento del livello del mare, San Francisco rappresenta negli anni successivi un’oasi di relativa stabilità e sicurezza, dove la coppia e i loro amici riescono a mantenere un buono stile di vita simile a quello occidentale attuale e da cui assistono però al progressivo deterioramento – climatico e sociale – del resto del mondo.	Menzione esplicita	111968	37.7792588,-122.4193286	
Qualcosa, là fuori	Chignolo	paese		Futuro Prossimo	Spazio reale	Primo riferimento geografico del romanzo, da cui il lettore comincia a seguire il viaggio di Livio e del gruppo di migranti con cui cerca di raggiungere la Scandinavia, guidati dalle guide della Transhope. La pianura è arida, grigia e polverosa, e reca solo segni di violenza e abbandono.	Menzione esplicita	845681277	45.8492096,9.5099311	
Qualcosa, là fuori	Lodi	campagna		Futuro Prossimo	Spazio reale	Prima tappa rappresentata del viaggio della colonna di migranti, in prossimità della città abbandonata di cui si intravede solo il profilo fumante, circondato da capannoni e cascine disfatti.	Menzione esplicita	44181	45.2613104,9.4916781	
Qualcosa, là fuori	Milano	città		Futuro Prossimo	Spazio reale	Attraversando Milano, il gruppo incontra i primi segni evidenti di violenza sociale, con raffiche di mitra e cadaveri esposti in viale Argonne e piazzale Susa, a est della città. Dopo il capoluogo lombardo, altre cittadine si susseguono nello spostamento attraverso la Brianza e verso il lago di Como.	Menzione esplicita	44915	45.4641943,9.1896346	
Qualcosa, là fuori	San Giorgio	campagna		Futuro Prossimo	Spazio reale	Ulteriore tappa del gruppo sulle sponde del lago di Como, da cui le macchine idrovore della Transhope attingono le ultime, scarse riserve d’acqua per dissetare i migranti. Da qui, una piccola delegazione, tra cui Livio, parte per negoziare con gli svizzeri il passaggio della colonna. Grazie ad una ferrea e spietata organizzazione delle risorse, la Svizzera mantiene ancora un certo ordine sociale che include la presenza di un sorvegliatissimo corridoio umanitario fino alla Germania.	Menzione esplicita, Deduzione dalla descrizione del luogo	432466508	46.0567789,8.9416915	
Qualcosa, là fuori	Sufnersee	montagna, lago		Futuro Prossimo	Spazio reale	Durante la traversata della Svizzera, il gruppo si trova a contemplare il bacino profondo e vuoto del lago, dove avevano sperato di rimpinguare le scorte idriche.	Menzione esplicita	6004624	46.5671131,9.3712286	
Qualcosa, là fuori	Kriessern	montagna		Futuro Prossimo	Spazio reale	Tappa finale della traversata svizzera, ultima tratta relativamente sicura del viaggio: dopo di essa, si aprono le distese, ora paludose ora riarse, dell’Austria e della Germania.	Menzione esplicita	1884082999	47.3653317,9.6071943	
Qualcosa, là fuori	Bregenz	montagna, lago		Futuro Prossimo	Spazio reale	Nelle vicinanze del lago di Costanza, pressoché prosciugato, per la prima volta il gruppo viene coinvolto in un violento scontro a fuoco per arrivare all’acqua.	Menzione esplicita	75073	47.5025779,9.7472924	
Qualcosa, là fuori	Stockenweiler Weiher	lago, campagna, pianura		Futuro Prossimo	Spazio reale	Tappa successiva allo scontro: sulle rive di quella che un tempo era un’area ricca d’acqua ed è ridotta ora ad una distesa di sabbia, argilla e scheletri animali, le macchine idrovore trovano inaspettatamente una falda acquifera, concedendo un momentaneo respiro al gruppo stremato.	Menzione esplicita	1111613982	47.6252173,9.7883046	
Qualcosa, là fuori	Ulm	pianura		Futuro Prossimo	Spazio reale	Prosegue il viaggio della colonna nel clima torrido, attraverso un vasto territorio costellato di macerie industriali e segnali ammonitori da parte di comunità asserragliate nei dintorni, con cui il gruppo non ha contatti.	Menzione esplicita	62495	48.3984968,9.9912458	
Qualcosa, là fuori	Elchingen	pianura, fiume		Futuro Prossimo	Spazio reale	Superato il greto prosciugato del Danubio, la colonna dei migranti si ferma in un complesso industriale in rovina, dove viene coinvolta da un violento scontro a fuoco orchestrato da un gruppo di predoni. Riescono a prevalere, ma centinaia di feriti vengono uccisi prima di ripartire. Nei giorni successivi, dozzine di migranti cedono al caldo intollerabile, di cui vengono descritti gli effetti sul corpo umano.	Menzione esplicita	941078	48.4525086,10.0842004	
Qualcosa, là fuori	Würzburg	pianura, città, fiume		Futuro Prossimo	Spazio reale	Descrizione di uno dei pochi centri urbani attraversati dal gruppo: sulle rive asciutte del Meno, la città è spettrale, disseminata di cadaveri, rifiuti e macerie di edifici abbandonati. I giorni seguenti, i migranti proseguono verso nord, toccando diverse città che vengono solo nominate: Werneck, Schweinfurt, Münnerstadt, Sondheim, Erbenhausen, Walldorf, Immelborn, Hildesheim.	Menzione esplicita	62464	49.7780356,9.9434769	
Qualcosa, là fuori	Hannover	pianura		Futuro Prossimo	Spazio reale	Arrivati in prossimità della pianura costiera, il caldo torrido viene spezzato saltuariamente da violente piogge, che evaporano nell’aria prima ancora di toccare terra. Ritrovano i primi sparuti alberi (palme) e poverissime baraccopoli alle porte della città.	Menzione esplicita	59418	52.3744779,9.7385532	
Qualcosa, là fuori	Celle	pianura, fiume		Futuro Prossimo	Spazio reale	La temperatura si fa più sostenibile, arrivando in zone asciutte mentre transita il gruppo, ma in cui ci sono segni di piene fluviali stagionali. Incontrano segni di attività agricola e saltuarie, brevi piogge.	Menzione esplicita	1797918	52.6240560,10.0810520	
Qualcosa, là fuori	Bergen-Belsen	pianura		Futuro Prossimo	Spazio reale	Passando accanto alle indicazioni per il memoriale del campo di concentramento, Livio sceglie di non rivelare la natura di quel luogo al ragazzino Miguel, ritenendo che abbia fin troppa familiarità con l’orrore. Nella successiva tappa nei pressi di Münster, solo nominata, Livio rivela a Marta la storia della propria famiglia deceduta.	Menzione esplicita	2707989157	48.8601371,2.4001275	
Qualcosa, là fuori	Wilseder Berg	collina		Futuro Prossimo	Spazio reale	In corrispondenza della collina, il gruppo si rende conto che il livello del mare si è alzato e che l’acqua salata ha risalito l’Elba sommergendo Amburgo, di cui rimangono solo le guglie all’orizzonte.	Menzione esplicita	742231390	53.1678028,9.9390268	
Qualcosa, là fuori	Radbruch	fiume, pianura		Futuro Prossimo	Spazio reale	Nel tentativo di superare l’Elba, arrivano ai resti della cittadina tedesca, ora sommersa e invasa dalle mangrovie.	Menzione esplicita	1392132	53.3115360,10.2844007	
Qualcosa, là fuori	Bleckede	pianura, fiume		Futuro Prossimo	Spazio reale	Le guide si impossessano con la violenza del traghetto sul fiume per far passare quel che resta del gruppo; il clima è ora tropicale e paludoso, l’aria è pesante e infestata dagli insetti. Viene annunciato che d’ora in poi si entra effettivamente in clandestinità poiché stanno per passare il confine del protettorato di Scandinavia, il cui accesso è proibito ai profughi.	Menzione esplicita	1837837	53.2933058,10.7299955	
Qualcosa, là fuori	Ratzeburger See	pianura, costa, lago		Futuro Prossimo	Spazio reale	Il gruppo raggiunge il limitare del mare, risalito nell’entroterra per chilometri; viaggiano di nascosto, di notte, ma si vedono segni di piccole comunità che sembrano riuscire a sopravvivere, adattando attività agricole al territorio caldo e acquitrinoso, infestato dalle mangrovie.	Menzione esplicita	1430457446	53.7809661,10.7657969	
Qualcosa, là fuori	Teschow	costa, mare, interno		Futuro Prossimo	Spazio reale	I migranti si trovano alla periferia di un attacco della polizia di frontiera, dopo il quale due donne si uniscono al gruppetto di Livio. Il gruppo raggiunge la sede nordica della Transhope da cui dovrebbero tentare l’attraversamento del Baltico fino alla Scandinavia; le guide impongono però un’ulteriore quota che deve pagare i migranti o qualcuno per loro in Scandinavia: chi non può permetterlo viene rinchiuso in cella, e tra questi ci sono Livio, Marta, Sara e Miguel.	Menzione esplicita	260059096	53.7874656,12.6297233	
Qualcosa, là fuori	Kåseberga	pianura, mare, costa, interno	Aperto > Naturale > Irriguo > Pianura; Aperto > Naturale > Rilievo > Montagna; Aperto > Naturale > Acquatico > Mare	Futuro Prossimo	Spazio reale	Luogo della costa svedese dove approda fortunosamente il gommone di Livio, Marta, Sara, Miguel e le altre poche donne del gruppo, dopo la fuga dalla prigione della Transhope. Qui il gruppo viene preso in custodia dalla polizia svedese, in attesa di verificarne il legittimo status di rifugiati.	Menzione esplicita	27805208	55.3870958,14.0656814	
Le otto montagne	Milano	montagna	Aperto > Naturale > Rilievo > Montagna					44915	45.4641943,9.1896346	
Le otto montagne	Grana (BG)	montagna	Aperto > Naturale > Rilievo > Montagna					10207399661	45.9682534,10.1035775	
Le otto montagne	Katmandu	montagna	Aperto > Naturale > Rilievo > Montagna					12394677	27.7083170,85.3205817	
Le otto montagne	Himalaya	montagna	Aperto > Naturale > Rilievo > Montagna					3791305957	27.9856880,86.9163367	
Artico nero. La lunga notte dei popoli dei ghiacci	Čukotka	mare	Aperto > Naturale > Acquatico > Mare					11256819599	50.5498349,16.2309744	
Artico nero. La lunga notte dei popoli dei ghiacci	Alaska	mare	Aperto > Naturale > Acquatico > Mare					1116270	64.4459613,-149.6809090	
Artico nero. La lunga notte dei popoli dei ghiacci	Canada	mare	Aperto > Naturale > Acquatico > Mare					1428125	61.0666922,-107.9917070	
Artico nero. La lunga notte dei popoli dei ghiacci	Norvegia	mare	Aperto > Naturale > Acquatico > Mare					1059668	64.5731537,11.5280364	
Artico nero. La lunga notte dei popoli dei ghiacci	Siberia	mare	Aperto > Naturale > Acquatico > Mare					1221148	65.2729258,95.4899032	
Artico nero. La lunga notte dei popoli dei ghiacci	Groenlandia	mare	Aperto > Naturale > Acquatico > Mare					7662545	71.8171799,-40.4263179	
La festa nera										
Divorare il cielo	Speziale	campagna	Aperto > Naturale > Rurale > Campagna					4452527394	40.7913913,17.4598637	
La casa mangia le parole	Roma	città	Aperto > Urbano > Città					41485	41.8933203,12.4829321	
L'olmo grande	Friuli Venezia Giulia	campagna	Aperto > Naturale > Rurale > Campagna					179296	46.1510420,13.0559040	
Una notte sull'alpe della luna	Appennino	montagna	Aperto > Naturale > Rilievo > Montagna	Presente	Spazio reale			823645399	42.9778013,13.0796986	
L'albero della fortuna	Calabria	paese	Aperto > Urbano > Paese					1783980	39.0565974,16.5249864	
Il fico di Betania	Palestina	città	Aperto > Urbano > Città			Territori Palestinesi!		1703814	31.4624210,34.2627215	
La colomba sul pino e la vecchia sotto il fico	Liguria	città, bosco	Aperto > Urbano > Città; Aperto > Naturale > Arboreo > Bosco					301482	44.4777617,8.7026296	
La colomba sul pino e la vecchia sotto il fico	Lambrate	città, bosco	Aperto > Urbano > Città; Aperto > Naturale > Arboreo > Bosco					3356418408	45.4824346,9.2410536	
Canto degli alberi	Mantova	città	Aperto > Urbano > Città					43798	45.1692628,10.6708365	
L'assemblea degli animali		bosco	Aperto > Naturale > Arboreo > Bosco							
Il bosco del confine	Carso	bosco	Aperto > Naturale > Arboreo > Bosco					11801461	45.7550942,13.7932829	
Il bosco del confine	Balcani	bosco	Aperto > Naturale > Arboreo > Bosco					4016746	41.7785016,23.8146770	
L'imitazione di una foglia che cade										
Noi	Nessuna geografia esplicita	bosco		Presente	Spazio fittizio	Non vi è nessuna geografia esplicita, solo "il paesaggio", come dichiarato dal narratore: "Non ci interessano i dettagli geografici né qualsiasi specifica localizzazione".	Deduzione dalla descrizione del luogo, Menzione esplicita		38.7200, -24.2200	
Dopo la pioggia	Roma	città	Aperto > Urbano > Città					41485	41.8933203,12.4829321	
Bjula della betulle										
Il bosco di là	Italia settentrionale	bosco	Aperto > Naturale > Arboreo > Bosco					0	45.378365551727605,10.217267368233305	
Erba matta		città	Aperto > Urbano > Città							
La quercia di Bruegel										
Il pioppo del Sempione										
Tasmania										
Solo di uomini il bosco può morire	Foresta di Cuma	bosco	Aperto > Naturale > Arboreo > Bosco					10207399661	40.84922,14.04896	
Il concerto del viale dei lecci	Forlì	città	Aperto > Urbano > Città					42907	44.2227278,12.0412730	
Romanzo senza umani										
Il cedro del Libano										
Tundra e Peive		città	Aperto > Urbano > Città							
Prima della rivolta	Milano	città	Aperto > Urbano > Città					44915	45.4641943,9.1896346	
Una voce dal profondo	Italia							365331	42.6384261,12.6742970	
L'impronta		bosco	Aperto > Naturale > Arboreo > Bosco							
Il fuoco invisibile. Storia umana di un disastro naturale										
La compagnia del gelso										
All'ombra del ricino										
Vita immaginaria di un alloro										
L'ultima foresta	Foresta di Białowieża	bosco, campagna	Aperto > Naturale > Arboreo > Bosco; Aperto > Naturale > Rurale > Campagna					14705359	52.8649192,23.8810102	
Scintilla		bosco	Aperto > Naturale > Arboreo > Bosco							
Atlante Appennino. Un'ecobiografia	Appennino settentrionale	montagna	Aperto > Naturale > Rilievo > Montagna					276532495	44.3378141,11.2027931	
Il ritorno è lontano										
Il ritorno è lontano	Alpi	montagna, paese	Aperto > Naturale > Rilievo > Montagna; Aperto > Urbano > Paese					2698607	45.9083263,9.1420628	
Il predatore	Cimalta (inventato)	montagna, paese	Aperto > Naturale > Rilievo > Montagna; Aperto > Urbano > Paese						38.7200, -24.2200	
Il carrubo e l'unità di misura del diamante	Sicilia	campagna	Aperto > Naturale > Rurale > Campagna					39152	37.5877940,14.1550480	
L'agave della Regina Vittoria	Italia settentrionale	città, paese	Aperto > Urbano > Città; Aperto > Urbano > Paese					33890846	41.8996571,12.3826951	
L'agave della Regina Vittoria	Inghilterra	città, paese	Aperto > Urbano > Città; Aperto > Urbano > Paese					58447	52.5310214,-1.2649062	
L'agave della Regina Vittoria	Mentone	città, paese	Aperto > Urbano > Città; Aperto > Urbano > Paese					74727	43.7753495,7.5029213	